nutrition_simplified
name,protein,fat,carbs,Macro
margarine with yoghurt,0.06,9.8,0.07,fat
sunflower seed butter,2.8,8.8,3.7,fat
hazelnut oil,0.0,13.6,0.0,fat
menhaden fish oil,0.0,218.0,0.0,fat
cod liver fish oil,0.0,13.6,0.0,fat
sardine oil,0.0,13.6,0.0,fat
cupu assu oil,0.0,13.6,0.0,fat
lard,0.0,12.8,0.0,fat
sesame butter,2.9,8.1,3.8,fat
margarine spread,0.08,6.7,0.1,fat
lard vegetable oil,0.0,12.8,0.0,fat
shortening,0.0,12.8,0.0,fat
vegetable oil spread,0.01,8.4,0.1,fat
cottonseed oil,0.0,13.6,0.0,fat
vegetable oil spread fat free,0.2,0.5,0.4,fat
soy margarine,0.0,9.9,0.0,fat
margarine with salt,0.03,11.3,0.02,fat
margarine,0.04,11.5,0.02,fat
salmon fish oil,0.0,13.6,0.0,fat
nutmeg butter oil,0.0,218.0,0.0,fat
almond butter,3.4,8.9,3.0,fat
sour cream shoprite,0.0,5.0,1.0,fat
ucuhuba butter oil,0.0,13.6,0.0,fat
chicken fat,0.0,12.8,0.0,fat
herring fish oil,0.0,13.6,0.0,fat
bacon grease,0.0,4.3,0.0,fat
turkey fat,0.0,5.0,0.0,fat
beef tallow,0.0,12.8,0.0,fat
goose fat,0.0,5.0,0.0,fat
duck fat,0.0,5.0,0.0,fat
mutton tallow,0.0,5.0,0.0,fat
grapeseed oil,0.0,13.6,0.0,fat
sheanut oil,0.0,218.0,0.0,fat
almond oil,0.0,13.6,0.0,fat
sunflower oil,0.0,13.6,0.0,fat
cashew butter,2.8,7.9,4.4,fat
canola oil,0.0,14.0,0.0,fat
babassu oil,0.0,218.0,0.0,fat
teaseed oil,0.0,13.6,0.0,fat
avocado oil,0.0,14.0,0.0,fat
vegetable palm kernel oil,0.0,13.6,0.0,fat
coconut oil,0.0,13.6,0.0,fat
safflower oil,0.0,13.6,0.0,fat
vegetable oil,0.0,13.6,0.0,fat
apricot kernel oil,0.0,4.5,0.0,fat
peanut oil,0.0,13.5,0.0,fat
poppyseed oil,0.0,13.6,0.0,fat
flaxseed oil,0.09,13.6,0.0,fat
tomatoseed oil,0.0,218.0,0.0,fat
wheat germ oil,0.0,13.6,0.0,fat
sesame oil,0.0,4.5,0.0,fat
corn granola oil,0.0,14.0,0.0,fat
cocoa butter oil,0.0,13.6,0.0,fat
olive oil,0.0,13.5,0.0,fat
palm kernel oil,0.0,4.5,0.0,fat
mustard oil,0.0,14.0,0.0,fat
rice bran oil,0.0,13.6,0.0,fat
vegetable macaroni dry,11.0,0.9,62.9,carbs
chow mein noodles,5.9,9.9,37.5,carbs
chinese noodles,0.2,0.09,111.9,carbs
vegetable macaroni cooked,6.1,0.1,35.7,carbs
corn pasta dry,7.8,2.2,83.2,carbs
egg noodles dry,5.4,1.7,27.1,carbs
whole wheat spaghetti dry,4.1,0.4,21.2,carbs
japanese soba noodles dry,4.1,0.2,21.1,carbs
rice noodles dry,1.0,0.2,23.6,carbs
spinach spaghetti dry,3.8,0.4,21.2,carbs
egg noodles cooked,3.6,1.7,20.1,carbs
japanese somen noodles cooked,7.0,0.3,48.5,carbs
whole wheat macaroni dry,15.4,1.5,78.8,carbs
pasta marinara and ground beef sauce,2.5,1.6,4.1,carbs
